Lluç a la Koskera,segon,mitjana,formal,gran,calent,"['lluç', 'julivert', 'all', 'oli d’oliva', 'vi blanc', 'aigua', 'sal', 'pèsols', 'espàrrecs']",,,tots,"['lluç', 'julivert', 'all', 'oli d’oliva', 'vi blanc', 'aigua', 'sal', 'pèsols', 'espàrrecs']",['primavera'],6.45
Calamars Farcits amb Salsa,segon,alta,formal,gran,calent,"['calamars', 'carn picada', 'peix', 'pa remullat', 'ou', 'ceba', 'tomàquet', 'aigua', 'sal']",,,tots,"['calamars', 'carn picada', 'peix', 'pa remullat', 'ou', 'ceba', 'tomàquet', 'aigua', 'sal']","['estiu', 'tardor']",8.80
Paella de Marisc,segon,alta,formal,gran,calent,"['arròs', 'gamba', 'calamar', 'musclo', 'peix', 'verdures', 'aigua', 'sal', 'safrà', 'oli d’oliva']",,,tots,"['arròs', 'gamba', 'calamar', 'musclo', 'peix', 'verdures', 'aigua', 'sal', 'safrà', 'oli d’oliva']",[],8.60
Arròs Negre amb Allioli,segon,mitjana,informal,gran,calent,"['arròs', 'tinta de sípia', 'sípia', 'calamar', 'peix', 'verdures', 'aigua', 'sal', 'all', 'oli d’oliva', 'ou']",,,tots,"['arròs', 'tinta de sípia', 'sípia', 'calamar', 'peix', 'verdures', 'aigua', 'sal', 'all', 'oli d’oliva', 'ou']","['estiu', 'primavera', 'tardor']",8.30
Arròs al Forn,segon,mitjana,formal,gran,calent,"['arròs', 'costella', 'botifarra', 'cigrons', 'tomàquet', 'all', 'aigua', 'sal']",,,tots,"['arròs', 'costella', 'botifarra', 'cigrons', 'tomàquet', 'all', 'aigua', 'sal']","['estiu', 'tardor']",5.00
Fideuà Clàssica,segon,mitjana,formal,gran,calent,"['pasta', 'sípia', 'gamba', 'calamar', 'peix', 'aigua', 'sal', 'verdures', 'all', 'oli d’oliva', 'ou']",,,tots,"['pasta', 'sípia', 'gamba', 'calamar', 'peix', 'aigua', 'sal', 'verdures', 'all', 'oli d’oliva', 'ou']",['estiu'],8.70
Rabo de Toro Estofat,segon,alta,informal,gran,calent,"['vedella', 'vi negre', 'ceba', 'pastanaga', 'api', 'tomàquet', 'aigua', 'sal']",,,tots,"['vedella', 'vi negre', 'ceba', 'pastanaga', 'api', 'tomàquet', 'aigua', 'sal']",['tardor'],7.75
Callos a la Madrilenya,segon,alta,informal,gran,calent,"['tripa de vedella', 'xoriço', 'pernil', 'pebre vermell', 'tomàquet', 'cigrons (opcional)']",,,tots,"['tripa de vedella', 'xoriço', 'pernil', 'pebre vermell', 'tomàquet', 'cigrons (opcional)']","['estiu', 'tardor']",7.55
Parmigiana di Melanzane,segon,mitjana,informal,gran,calent,"['albergínia', 'tomàquet', 'mozzarella', 'parmesà', 'alfàbrega', 'oli d’oliva']",,,tots,"['albergínia', 'tomàquet', 'mozzarella', 'parmesà', 'alfàbrega', 'oli d’oliva']",['estiu'],4.20
Lasanya de Verdures,segon,mitjana,informal,gran,calent,"['pasta de lasanya', 'carbassó', 'albergínia', 'espinacs', 'tomàquet', 'llet', 'farina', 'mantega', 'sal', 'nou moscada', 'formatge']",,,tots,"['pasta de lasanya', 'carbassó', 'albergínia', 'espinacs', 'tomàquet', 'llet', 'farina', 'mantega', 'sal', 'nou moscada', 'formatge']",[],3.80
Cigrons Estofats amb Espinacs,segon,baixa,informal,gran,calent,"['cigrons cuits', 'espinacs', 'all', 'pebre vermell', 'tomàquet', 'oli d’oliva']",,,tots,"['cigrons cuits', 'espinacs', 'all', 'pebre vermell', 'tomàquet', 'oli d’oliva']",['tardor'],2.90
Risotto de Bolets,segon,alta,informal,gran,calent,"['arròs arborio', 'bolets', 'aigua', 'sal', 'vi blanc', 'ceba', 'mantega', 'parmesà']",,,tots,"['arròs arborio', 'bolets', 'aigua', 'sal', 'vi blanc', 'ceba', 'mantega', 'parmesà']",['tardor'],4.25
Marmitako,segon,mitjana,informal,gran,calent,"['tonyina', 'patata', 'ceba', 'pebrot', 'tomàquet', 'peix', 'verdures', 'aigua', 'sal']",,,tots,"['tonyina', 'patata', 'ceba', 'pebrot', 'tomàquet', 'peix', 'verdures', 'aigua', 'sal']","['estiu', 'tardor']",7.00
Caldereta de Marisc,segon,alta,formal,gran,calent,"['llagostí', 'escamarlà', 'sípia', 'peix de roca', 'tomàquet', 'all', 'brandi', 'peix', 'aigua', 'sal', 'verdures']",,,tots,"['llagostí', 'escamarlà', 'sípia', 'peix de roca', 'tomàquet', 'all', 'brandi', 'peix', 'aigua', 'sal', 'verdures']",['estiu'],9.00
Daurada al Forn amb Verdures,segon,baixa,formal,gran,calent,"['daurada', 'carbassó', 'pastanaga', 'ceba', 'oli d’oliva', 'llimona', 'vi blanc']",,,tots,"['daurada', 'carbassó', 'pastanaga', 'ceba', 'oli d’oliva', 'llimona', 'vi blanc']",['primavera'],6.15
Pollastre a la Cervesa,segon,mitjana,informal,gran,calent,"['pollastre tallat', 'cervesa', 'ceba', 'farina', 'oli d’oliva', 'sal']",,,tots,"['pollastre tallat', 'cervesa', 'ceba', 'farina', 'oli d’oliva', 'sal']","['estiu', 'hivern', 'primavera', 'tardor']",4.30
Corder amb Bolets,segon,alta,formal,gran,calent,"['corder', 'bolets', 'vi negre', 'ceba', 'aigua', 'sal', 'farigola']",,,tots,"['corder', 'bolets', 'vi negre', 'ceba', 'aigua', 'sal', 'farigola']",['tardor'],8.00
Hamburguesa Gourmet,segon,mitjana,informal,gran,calent,"['vedella picada', 'pa artesà', 'formatge', 'ceba confitada', 'enciams', 'salsa']",,,tots,"['vedella picada', 'pa artesà', 'formatge', 'ceba confitada', 'enciams', 'salsa']","['estiu', 'primavera', 'tardor']",7.05
Pernil de gall dindi rostit,segon,mitjana,formal,gran,calent,"['gall dindi', 'mantega', 'herbes', 'llimona', 'sal', 'pebre']",,,tots,"['gall dindi', 'mantega', 'herbes', 'llimona', 'sal', 'pebre']","['primavera', 'tardor']",7.25
Sopa de Peix,primer,mitjana,formal,mitjà,calent,"['peix blanc', 'verdures', 'aigua', 'sal', 'tomàquet', 'ceba', 'all', 'oli d’oliva', 'pa']",Catalunya,,tots,"['peix blanc', 'verdures', 'aigua', 'sal', 'tomàquet', 'ceba', 'all', 'oli d’oliva', 'pa']","['estiu', 'tardor']",5.75
Escalivada amb Anxoves,primer,baixa,informal,mitjà,tebi,"['albergínia', 'pebrot', 'ceba', 'anxoves', 'oli d’oliva']",Catalunya,,tots,"['albergínia', 'pebrot', 'ceba', 'anxoves', 'oli d’oliva']","['estiu', 'tardor']",2.20
Tonyina amb Samfaina,segon,mitjana,formal,gran,calent,"['tonyina', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",Catalunya,,tots,"['tonyina', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",['estiu'],7.20
Panellets Variats,postre,mitjana,formal,petit,fred,"['ametlla mòlta', 'sucre', 'patata', 'moniato', 'pinyons', 'coco', 'xocolata']",Catalunya,,tots,"['ametlla mòlta', 'sucre', 'patata', 'moniato', 'pinyons', 'coco', 'xocolata']",['tardor'],1.55
Coca de Iogurt,postre,baixa,informal,mitjà,tebi,"['iogurt', 'farina', 'sucre', 'ous', 'oli d’oliva', 'llimona']",Catalunya,,tots,"['iogurt', 'farina', 'sucre', 'ous', 'oli d’oliva', 'llimona']","['hivern', 'primavera', 'tardor']",1.15
Galetes de Mantega,postre,baixa,informal,petit,fred,"['farina', 'mantega', 'sucre', 'ous']",Catalunya,,tots,"['farina', 'mantega', 'sucre', 'ous']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Teules d’ametlla,postre,baixa,formal,petit,fred,"['ametlla laminada', 'sucre', 'clara d’ou']",Catalunya,,tots,"['ametlla laminada', 'sucre', 'clara d’ou']","['hivern', 'tardor']",1.05
Carquinyolis,postre,baixa,informal,petit,fred,"['ametlla', 'farina', 'sucre', 'ous', 'llimona']",Catalunya,,tots,"['ametlla', 'farina', 'sucre', 'ous', 'llimona']","['hivern', 'tardor']",1.05
Braç de Gitano de Trufa,postre,mitjana,formal,petit,fred,"['bescuit', 'xocolata', 'nata', 'sucre']",Catalunya,,tots,"['bescuit', 'xocolata', 'nata', 'sucre']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Braç de Gitano de Nata,postre,mitjana,formal,petit,fred,"['bescuit', 'nata', 'sucre']",Catalunya,,tots,"['bescuit', 'nata', 'sucre']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Melindros amb Xocolata Desfeta,postre,baixa,formal,petit,calent,"['melindros', 'xocolata negra', 'llet', 'nata']",Catalunya,,tots,"['melindros', 'xocolata negra', 'llet', 'nata']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Xuixos de Crema,postre,alta,informal,petit,tebi,"['massa tipus brioix', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'oli d’oliva']",Catalunya,,tots,"['massa tipus brioix', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'oli d’oliva']","['estiu', 'hivern', 'primavera', 'tardor']",1.45
Bunyols de Vent,postre,mitjana,informal,petit,tebi,"['farina', 'mantega', 'aigua', 'ous', 'sal', 'sucre', 'nata', 'crema (opcional)']",Catalunya,,tots,"['farina', 'mantega', 'aigua', 'ous', 'sal', 'sucre', 'nata', 'crema (opcional)']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Coca de Llardons,postre,mitjana,informal,mitjà,tebi,"['farina', 'mantega', 'aigua', 'sal', 'llardons', 'sucre', 'pinyons']",Catalunya,,tots,"['farina', 'mantega', 'aigua', 'sal', 'llardons', 'sucre', 'pinyons']",['tardor'],1.85
Coca de Forner amb Pinyons,postre,mitjana,informal,mitjà,calent,"['farina', 'aigua', 'oli d’oliva', 'sucre', 'pinyons', 'llevat']",Catalunya,,tots,"['farina', 'aigua', 'oli d’oliva', 'sucre', 'pinyons', 'llevat']",['tardor'],1.85
Menjar Blanc,postre,mitjana,formal,petit,fred,"['ametlla', 'sucre', 'midó', 'aigua de flor de taronger']",Catalunya,,tots,"['ametlla', 'sucre', 'midó', 'aigua de flor de taronger']",[],1.15
Crème Brûlée,postre,mitjana,formal,petit,fred,"['nata', 'rovells', 'sucre', 'vainilla', 'sucre cremat']",França,,tots,"['nata', 'rovells', 'sucre', 'vainilla', 'sucre cremat']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Massini,postre,alta,formal,petit,fred,"['bescuit', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'nata', 'xocolata']",Catalunya,,tots,"['bescuit', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'nata', 'xocolata']","['estiu', 'hivern', 'primavera', 'tardor']",1.45
Coca de Llavaneres,postre,alta,informal,mitjà,calent,"['farina', 'mantega', 'aigua', 'sal', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'pinyons']",Catalunya,,tots,"['farina', 'mantega', 'aigua', 'sal', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'pinyons']",['tardor'],2.15
Mel i Mató,postre,baixa,formal,petit,fred,"['mató', 'mel']",Catalunya,,tots,"['mató', 'mel']","['estiu', 'primavera']",1.05
Crema Catalana,postre,mitjana,formal,petit,fred,"['llet', 'ou', 'sucre', 'llimona', 'canyella']",Catalunya,,tots,"['llet', 'ou', 'sucre', 'llimona', 'canyella']","['hivern', 'primavera', 'tardor']",1.15
Gelat de Vainilla amb Crumble i Salsa Toffee,postre,baixa,informal,petit,fred,"['gelat de vainilla', 'sucre', 'nata', 'mantega', 'galeta']",,,tots,"['gelat de vainilla', 'sucre', 'nata', 'mantega', 'galeta']",['estiu'],1.25
Panna Cotta de Xocolata Blanca,postre,baixa,formal,petit,fred,"['nata', 'xocolata blanca', 'gelatina', 'sucre']",Itàlia,,tots,"['nata', 'xocolata blanca', 'gelatina', 'sucre']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Amanida Catalana,primer,baixa,informal,mitjà,fred,"['enciam', 'tomàquet', 'olives', 'pernil', 'llonganissa', 'oli d’oliva']",Catalunya,,tots,"['enciam', 'tomàquet', 'olives', 'pernil', 'llonganissa', 'oli d’oliva']",['tardor'],3.90
Pastís de Formatge Fred,postre,mitjana,formal,petit,fred,"['formatge crema', 'nata', 'sucre', 'galeta', 'mantega', 'gelatina (opcional)']",,,tots,"['formatge crema', 'nata', 'sucre', 'galeta', 'mantega', 'gelatina (opcional)']","['estiu', 'hivern', 'primavera', 'tardor']",2.65
Crumble de Fruits Vermells,postre,baixa,informal,petit,tebi,"['fruits vermells', 'farina', 'sucre', 'mantega']",,,tots,"['fruits vermells', 'farina', 'sucre', 'mantega']","['estiu', 'primavera']",1.05
Gelatina de Cava amb Fruites,postre,mitjana,formal,petit,fred,"['cava', 'gelatina', 'sucre', 'fruites']",,,tots,"['cava', 'gelatina', 'sucre', 'fruites']","['estiu', 'primavera', 'tardor']",1.15
Semifreddo d’ametlla,postre,mitjana,formal,petit,fred,"['nata', 'clares muntades', 'ametlla', 'sucre']",Itàlia,,tots,"['nata', 'clares muntades', 'ametlla', 'sucre']","['hivern', 'tardor']",1.35
Farigola amb Mel,postre,baixa,formal,petit,fred,"['mató', 'formatge', 'mel de romaní', 'farigola']",Catalunya,,tots,"['mató', 'formatge', 'mel de romaní', 'farigola']",['primavera'],1.25
Peres al Vi,postre,mitjana,formal,petit,tebi,"['peres', 'vi negre', 'sucre', 'canyella', 'pell de taronja']",Catalunya,,tots,"['peres', 'vi negre', 'sucre', 'canyella', 'pell de taronja']","['hivern', 'primavera', 'tardor']",1.15
Poma al Forn amb Canyella,postre,baixa,formal,petit,tebi,"['poma', 'sucre', 'canyella', 'nous (opcional)']",Catalunya,,tots,"['poma', 'sucre', 'canyella', 'nous (opcional)']","['hivern', 'tardor']",1.05
Músic amb Moscatell,postre,baixa,formal,petit,fred,"['fruits secs', 'panses', 'moscatell']",Catalunya,,tots,"['fruits secs', 'panses', 'moscatell']","['hivern', 'tardor']",1.05
Bescuit amb Nous i Mel,postre,baixa,informal,mitjà,tebi,"['farina', 'ous', 'sucre', 'nous', 'mel']",Catalunya,,tots,"['farina', 'ous', 'sucre', 'nous', 'mel']",[],1.15
Crespells Dolços,postre,mitjana,informal,petit,tebi,"['farina', 'ou', 'sucre', 'oli d’oliva', 'pell de llimona']",Catalunya,,tots,"['farina', 'ou', 'sucre', 'oli d’oliva', 'pell de llimona']","['hivern', 'primavera', 'tardor']",1.15
Pastís de Castanya,postre,mitjana,formal,petit,tebi,"['castanya', 'farina', 'ous', 'sucre', 'mantega']",Catalunya,,tots,"['castanya', 'farina', 'ous', 'sucre', 'mantega']",['tardor'],3.05
Peres amb Xocolata,postre,baixa,formal,petit,tebi,"['peres', 'xocolata', 'sucre', 'mantega']",Catalunya,,tots,"['peres', 'xocolata', 'sucre', 'mantega']","['hivern', 'primavera', 'tardor']",0.85
Flam de Mató,postre,mitjana,formal,petit,fred,"['mató', 'llet', 'ous', 'sucre', 'vainilla']",Catalunya,,tots,"['mató', 'llet', 'ous', 'sucre', 'vainilla']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Coca d’ametlla Fina,postre,baixa,informal,mitjà,tebi,"['ametlla mòlta', 'ous', 'sucre', 'farina']",Catalunya,,tots,"['ametlla mòlta', 'ous', 'sucre', 'farina']","['hivern', 'tardor']",1.35
Bunyols de Quaresma,postre,baixa,informal,petit,tebi,"['farina', 'sucre', 'ous', 'llevat', 'anís']",Catalunya,,tots,"['farina', 'sucre', 'ous', 'llevat', 'anís']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Crema de Llimona amb Merenga,postre,mitjana,formal,petit,fred,"['llimona', 'ous', 'sucre', 'mantega', 'merenga']",Catalunya,,tots,"['llimona', 'ous', 'sucre', 'mantega', 'merenga']","['hivern', 'primavera', 'tardor']",1.15
Panellets de Xocolata,postre,baixa,formal,petit,fred,"['ametlla mòlta', 'sucre', 'ou', 'cacau']",Catalunya,,tots,"['ametlla mòlta', 'sucre', 'ou', 'cacau']","['hivern', 'tardor']",1.05
Panellets de Coco,postre,baixa,formal,petit,fred,"['ametlla mòlta', 'sucre', 'ou', 'coco ratllat']",Catalunya,,tots,"['ametlla mòlta', 'sucre', 'ou', 'coco ratllat']","['hivern', 'tardor']",1.05
Pastisset de Cabell d’àngel,postre,mitjana,informal,petit,tebi,"['massa', 'cabell d’àngel', 'sucre']",Catalunya,,tots,"['massa', 'cabell d’àngel', 'sucre']","['estiu', 'hivern', 'primavera', 'tardor']",2.65
Carquinyolis de Xocolata,postre,baixa,informal,petit,fred,"['ametlla', 'farina', 'cacau', 'sucre', 'ous']",Catalunya,,tots,"['ametlla', 'farina', 'cacau', 'sucre', 'ous']","['hivern', 'tardor']",1.05
Bescuit d’ametlla,postre,mitjana,informal,petit,fred,"['ametlla', 'ous', 'sucre', 'farina']",Catalunya,,tots,"['ametlla', 'ous', 'sucre', 'farina']","['hivern', 'tardor']",1.35
Mató amb Codonyat,postre,baixa,formal,petit,fred,"['mató', 'codonyat']",Catalunya,,tots,"['mató', 'codonyat']",['tardor'],1.25
Catànies,postre,mitjana,formal,petit,fred,"['ametlla torrada', 'praliné', 'xocolata blanca', 'cacau']",Catalunya,,tots,"['ametlla torrada', 'praliné', 'xocolata blanca', 'cacau']","['hivern', 'tardor']",1.35
Bescuit emborratxat,postre,mitjana,informal,petit,tebi,"['bescuit', 'aigua', 'sucre', 'licor', 'rovell d’ou']",Catalunya,,tots,"['bescuit', 'aigua', 'sucre', 'licor', 'rovell d’ou']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Pijama,postre,baixa,informal,mitjà,fred,"['flam', 'gelat de vainilla', 'préssec en almívar', 'pinya', 'nata', 'xocolata']",Catalunya,,tots,"['flam', 'gelat de vainilla', 'préssec en almívar', 'pinya', 'nata', 'xocolata']",['estiu'],1.55
Coca de Montserrat,postre,mitjana,informal,mitjà,tebi,"['farina', 'aigua', 'mantega', 'sucre', 'ous', 'anís', 'pinyons']",Catalunya,,tots,"['farina', 'aigua', 'mantega', 'sucre', 'ous', 'anís', 'pinyons']",['tardor'],1.85
Coca de Vidre,postre,mitjana,informal,petit,tebi,"['farina', 'aigua', 'oli d’oliva', 'sucre', 'anís']",Catalunya,,tots,"['farina', 'aigua', 'oli d’oliva', 'sucre', 'anís']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Meló al Moscatell,postre,baixa,formal,petit,fred,"['meló madur', 'moscatell', 'menta']",Catalunya,,tots,"['meló madur', 'moscatell', 'menta']",['estiu'],1.25
Pastís Massini,postre,alta,formal,mitjà,fred,"['bescuit', 'crema', 'nata', 'xocolata']",Catalunya,,tots,"['bescuit', 'crema', 'nata', 'xocolata']","['estiu', 'hivern', 'primavera', 'tardor']",3.25
Bescuit de Iogurt amb Xocolata,postre,baixa,informal,mitjà,tebi,"['iogurt', 'farina', 'sucre', 'ous', 'cacau', 'oli d’oliva']",Catalunya,,tots,"['iogurt', 'farina', 'sucre', 'ous', 'cacau', 'oli d’oliva']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Coca de Sant Joan,postre,mitjana,informal,mitjà,tebi,"['brioche', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'fruita confitada', 'pinyons']",Catalunya,,tots,"['brioche', 'llet', 'rovells d’ou', 'sucre', 'midó (opcional)', 'vainilla', 'fruita confitada', 'pinyons']",['tardor'],1.85
Pastís Sacher,postre,alta,formal,petit,fred,"['xocolata', 'bescuit de cacau', 'melmelada d’albercoc']",Àustria (clàssic),,tots,"['xocolata', 'bescuit de cacau', 'melmelada d’albercoc']","['estiu', 'hivern', 'primavera', 'tardor']",2.95
Lluç amb Cloïsses i Salsa Verda,segon,mitjana,formal,gran,calent,"['lluç', 'cloïsses', 'julivert', 'all', 'vi blanc', 'aigua', 'sal', 'farina']",Catalunya,,tots,"['lluç', 'cloïsses', 'julivert', 'all', 'vi blanc', 'aigua', 'sal', 'farina']","['estiu', 'primavera']",6.25
Profiteroles amb Xocolata,postre,alta,formal,petit,fred,"['farina', 'mantega', 'aigua', 'ous', 'sal', 'nata', 'crema', 'xocolata calenta']",França,,tots,"['farina', 'mantega', 'aigua', 'ous', 'sal', 'nata', 'crema', 'xocolata calenta']",['hivern'],1.85
Tarta de Santiago,postre,baixa,formal,petit,tebi,"['ametlla mòlta', 'sucre', 'ous', 'llimona', 'canyella']",Galícia,,tots,"['ametlla mòlta', 'sucre', 'ous', 'llimona', 'canyella']","['hivern', 'tardor']",1.05
Mousse de Llimona,postre,baixa,formal,petit,fred,"['nata', 'llimona', 'llet condensada', 'sucre', 'gelatina (opcional)']",,,tots,"['nata', 'llimona', 'llet condensada', 'sucre', 'gelatina (opcional)']","['hivern', 'primavera', 'tardor']",2.35
Mousse de Xocolata,postre,mitjana,formal,petit,fred,"['xocolata negra', 'nata', 'ous', 'sucre', 'sal']",Espanya,,tots,"['xocolata negra', 'nata', 'ous', 'sucre', 'sal']","['estiu', 'hivern', 'primavera', 'tardor']",2.65
Fruita de Temporada Tallada,postre,baixa,formal,petit,fred,['fruita variada de temporada'],Espanya,,tots,['fruita variada de temporada'],"['estiu', 'primavera', 'tardor']",0.85
Leche Frita,postre,mitjana,formal,petit,tebi,"['llet', 'sucre', 'midó', 'canyella', 'ou', 'farina', 'oli d’oliva']",Espanya,,tots,"['llet', 'sucre', 'midó', 'canyella', 'ou', 'farina', 'oli d’oliva']","['estiu', 'hivern', 'primavera', 'tardor']",1.15
Torrijas,postre,baixa,formal,petit,tebi,"['pa del dia abans', 'llet', 'ou', 'sucre', 'canyella', 'oli d’oliva']",Espanya,,tots,"['pa del dia abans', 'llet', 'ou', 'sucre', 'canyella', 'oli d’oliva']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Espàrrecs Verds a la Brasa amb Romesco,primer,baixa,informal,mitjà,tebi,"['espàrrecs', 'nyora', 'ametlla', 'avellana', 'tomàquet escalivat', 'all', 'pa', 'oli d’oliva', 'vinagre', 'sal']",,,tots,"['espàrrecs', 'nyora', 'ametlla', 'avellana', 'tomàquet escalivat', 'all', 'pa', 'oli d’oliva', 'vinagre', 'sal']",[],2.00
Arròs amb Llet,postre,baixa,formal,petit,tebi,"['arròs', 'llet', 'sucre', 'canyella', 'llimona']",Espanya,,tots,"['arròs', 'llet', 'sucre', 'canyella', 'llimona']","['hivern', 'primavera', 'tardor']",0.85
Natilles,postre,baixa,formal,petit,fred,"['llet', 'ous', 'sucre', 'canyella', 'midó (opcional)']",Espanya,,tots,"['llet', 'ous', 'sucre', 'canyella', 'midó (opcional)']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Flam d’ou Casolà,postre,baixa,formal,petit,fred,"['llet', 'ous', 'sucre', 'vainilla']",Espanya,,tots,"['llet', 'ous', 'sucre', 'vainilla']","['estiu', 'hivern', 'primavera', 'tardor']",0.85
Ravioli de Carbassa i Mantega de Sàlvia,primer,alta,formal,mitjà,calent,"['pasta', 'carbassa', 'ricotta', 'parmesà', 'mantega', 'sàlvia', 'nou moscada', 'sal']",,,tots,"['pasta', 'carbassa', 'ricotta', 'parmesà', 'mantega', 'sàlvia', 'nou moscada', 'sal']",['tardor'],4.00
Crema de Porro i Poma Verda,primer,mitjana,informal,mitjà,tebi,"['porro', 'poma verda', 'patata', 'verdures', 'aigua', 'sal', 'nata (opcional)', 'oli d’oliva']",,,tots,"['porro', 'poma verda', 'patata', 'verdures', 'aigua', 'sal', 'nata (opcional)', 'oli d’oliva']","['primavera', 'tardor']",2.50
Conill a la Brasa amb All i Julivert,segon,baixa,informal,gran,calent,"['conill', 'all', 'julivert', 'oli d’oliva', 'sal']",Catalunya,,tots,"['conill', 'all', 'julivert', 'oli d’oliva', 'sal']","['estiu', 'primavera', 'tardor']",4.00
Lluç al Forn amb Patata,segon,baixa,formal,gran,calent,"['lluç', 'patata', 'ceba', 'all', 'vi blanc', 'oli d’oliva']",Catalunya,,tots,"['lluç', 'patata', 'ceba', 'all', 'vi blanc', 'oli d’oliva']","['estiu', 'hivern', 'primavera', 'tardor']",5.75
Amanida de Llenties amb Vinagreta,primer,baixa,informal,mitjà,fred,"['llenties cuites', 'pebrot', 'ceba', 'tomàquet', 'vinagreta']",,,tots,"['llenties cuites', 'pebrot', 'ceba', 'tomàquet', 'vinagreta']",['tardor'],2.40
Tonyina a la Brasa amb Samfaina,segon,mitjana,formal,gran,calent,"['tonyina', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",Catalunya,,tots,"['tonyina', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",['estiu'],7.20
Filet de Porc amb Poma Caramel·litzada,segon,mitjana,formal,gran,calent,"['porc', 'poma', 'sucre', 'mantega', 'vi blanc']",Catalunya,,tots,"['porc', 'poma', 'sucre', 'mantega', 'vi blanc']","['hivern', 'primavera', 'tardor']",8.30
Escalopa de Vedella amb Llimona,segon,baixa,informal,gran,calent,"['vedella', 'farina', 'ou', 'pa', 'oli d’oliva', 'llimona']",Catalunya,,tots,"['vedella', 'farina', 'ou', 'pa', 'oli d’oliva', 'llimona']","['hivern', 'primavera', 'tardor']",6.75
Peus de Porc a la Brasa,segon,baixa,informal,gran,calent,"['porc', 'sal', 'oli d’oliva', 'allioli (opcional)']",Catalunya,,tots,"['porc', 'sal', 'oli d’oliva', 'allioli (opcional)']","['estiu', 'hivern', 'primavera', 'tardor']",4.50
Ceps Saltejats amb All i Julivert,primer,baixa,informal,mitjà,calent,"['ceps', 'all', 'julivert', 'oli d’oliva', 'sal']",,,tots,"['ceps', 'all', 'julivert', 'oli d’oliva', 'sal']",['tardor'],2.40
Gall de Sant Pere a la Planxa,segon,baixa,formal,gran,calent,"['gall de sant pere', 'oli d’oliva', 'sal', 'llimona']",Catalunya,,tots,"['gall de sant pere', 'oli d’oliva', 'sal', 'llimona']","['hivern', 'primavera']",4.20
Rap amb Cloïsses i Gambes,segon,alta,formal,gran,calent,"['rap', 'cloïsses', 'gamba', 'all', 'vi blanc', 'aigua', 'sal']",Catalunya,,tots,"['rap', 'cloïsses', 'gamba', 'all', 'vi blanc', 'aigua', 'sal']",['estiu'],9.00
Caldereta de Llagosta,segon,alta,formal,gran,calent,"['llagosta', 'peix', 'verdures', 'aigua', 'sal', 'alls', 'tomàquet', 'oli d’oliva']",Catalunya,,tots,"['llagosta', 'peix', 'verdures', 'aigua', 'sal', 'alls', 'tomàquet', 'oli d’oliva']",['estiu'],6.75
Mini Falàfel amb Tahina,primer,mitjana,informal,pica-pica,calent,"['cigrons', 'ceba', 'all', 'julivert', 'comí', 'coriandre', 'oli d’oliva', 'sal', 'tahina', 'llimona']",,,tots,"['cigrons', 'ceba', 'all', 'julivert', 'comí', 'coriandre', 'oli d’oliva', 'sal', 'tahina', 'llimona']",['primavera'],4.20
Conill amb Samfaina,segon,mitjana,informal,gran,calent,"['conill', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",Catalunya,,tots,"['conill', 'albergínia', 'carbassó', 'pebrot', 'ceba', 'tomàquet', 'oli d’oliva', 'sal']",['estiu'],4.70
Bacallà amb Allioli Gratinat,segon,mitjana,formal,gran,calent,"['bacallà', 'all', 'oli d’oliva', 'ou', 'sal']",Catalunya,,tots,"['bacallà', 'all', 'oli d’oliva', 'ou', 'sal']","['estiu', 'hivern', 'primavera', 'tardor']",6.05
